	HC1	HC2	HC3	HC4	COVID_1	COVID_2	COVID_3	COVID_4	COVID_5	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
AGFG1	14.37 	17.90 	11.92 	10.16 	74.32 	18.26 	17.13 	22.65 	11.31 	59.60 	77.81 	13.82 	14.73 	30.58 	150.77 	54.54 	80.76 	47.24 	39.53 
ALOX5AP	134.25 	47.52 	58.33 	72.62 	262.70 	230.40 	88.25 	29.90 	201.14 	214.18 	260.78 	227.17 	128.50 	294.35 	239.84 	164.31 	286.75 	255.77 	146.52 
ANKRD22	2.67 	6.12 	3.14 	2.32 	9.42 	2.51 	0.97 	0.53 	2.62 	9.13 	24.56 	65.75 	20.17 	5.03 	13.73 	4.48 	4.94 	3.89 	8.68 
ARG1	15.47 	11.99 	1.94 	6.17 	147.50 	76.73 	37.14 	4.56 	6.19 	193.00 	112.94 	23.89 	14.38 	89.13 	152.12 	99.04 	91.81 	175.28 	58.01 
CKAP4	4.70 	4.95 	4.23 	3.68 	9.96 	7.67 	14.98 	8.19 	17.68 	11.98 	13.56 	14.43 	5.33 	13.50 	9.42 	15.42 	18.78 	17.23 	8.27 
CLEC4D	14.98 	4.66 	5.31 	8.82 	14.11 	7.92 	4.93 	3.93 	6.16 	15.15 	32.66 	41.53 	5.93 	19.74 	48.03 	15.89 	32.79 	9.67 	17.06 
GYG1	36.39 	11.25 	9.43 	13.06 	182.04 	25.80 	16.49 	17.70 	52.01 	135.00 	230.00 	106.61 	34.16 	77.75 	209.18 	68.10 	119.78 	74.76 	45.74 
IL1R2	87.36 	78.88 	54.31 	71.98 	958.49 	368.59 	84.45 	94.99 	68.95 	498.13 	314.36 	71.54 	162.90 	533.48 	864.57 	624.91 	644.46 	660.99 	593.11 
LILRA6	2.88 	5.30 	4.30 	4.66 	12.48 	7.10 	9.60 	3.39 	6.41 	7.14 	8.90 	6.97 	3.97 	4.67 	6.80 	9.71 	21.73 	11.86 	4.55 
MAPK14	53.18 	65.52 	36.64 	45.88 	202.95 	51.56 	57.89 	34.16 	61.56 	90.13 	159.49 	157.30 	51.21 	61.26 	120.83 	78.38 	106.71 	75.91 	96.11 
MCEMP1	17.00 	9.63 	8.47 	5.05 	135.95 	19.82 	13.82 	17.10 	28.60 	48.06 	88.08 	66.72 	11.76 	73.46 	175.64 	37.26 	160.59 	53.11 	16.80 
MMP9	81.52 	19.23 	15.76 	28.40 	271.30 	182.52 	33.57 	22.04 	69.97 	151.01 	405.01 	55.62 	29.29 	114.21 	326.42 	149.37 	418.34 	248.06 	19.87 
PGLYRP1	18.78 	5.84 	3.76 	13.03 	31.96 	39.48 	16.00 	7.51 	14.62 	31.91 	65.01 	16.28 	6.63 	43.33 	36.90 	24.79 	31.92 	55.92 	7.80 
POLR2J3	4.65 	5.08 	1.24 	2.86 	7.16 	13.01 	8.11 	17.26 	7.49 	4.36 	2.83 	5.79 	6.98 	5.68 	1.82 	4.27 	8.51 	8.65 	13.29 
S100A12	207.24 	92.21 	27.48 	67.27 	449.12 	137.94 	89.70 	32.09 	207.21 	592.96 	1186.89 	542.66 	275.46 	988.08 	920.43 	271.07 	426.28 	172.74 	51.92 
S100A8	1292.57 	873.55 	1929.18 	850.26 	2248.14 	1017.09 	2321.19 	752.64 	1592.10 	9355.19 	4913.90 	11374.64 	1722.11 	4979.75 	13231.06 	1102.31 	5755.82 	1129.84 	1013.43 
TP53I11	15.80 	8.41 	5.79 	8.00 	42.18 	22.38 	13.69 	4.42 	16.72 	25.94 	25.87 	26.95 	13.43 	19.97 	26.56 	23.76 	30.31 	37.35 	15.32 
PADI4	77.95 	34.75 	39.22 	52.37 	62.54 	64.25 	40.64 	26.35 	62.55 	106.20 	76.35 	45.22 	93.20 	92.33 	70.10 	50.43 	96.37 	19.59 	132.36 
CYSTM1	16.39 	17.81 	15.66 	16.96 	37.81 	27.22 	32.31 	3.98 	20.17 	7.11 	11.27 	9.44 	6.74 	9.04 	24.11 	44.65 	29.23 	16.39 	10.93 
CCPG1	33.63 	21.51 	32.20 	30.99 	25.21 	62.21 	40.48 	15.75 	24.39 	21.49 	44.38 	33.37 	27.30 	63.26 	26.46 	32.77 	24.99 	15.29 	32.05 
