	HC1	HC2	HC3	HC4	COVID_1	COVID_2	COVID_3	COVID_4	COVID_5	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
AZU1	0.00 	0.00 	0.00 	0.00 	1.09 	2.29 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
CEACAM8	1.10 	0.60 	1.02 	0.96 	2.38 	10.04 	0.68 	3.85 	0.66 	0.70 	1.67 	1.01 	0.23 	0.75 	1.56 	0.33 	1.65 	0.50 	0.20 
CTSG	0.04 	0.11 	0.08 	0.00 	0.18 	2.42 	0.00 	2.43 	0.00 	0.00 	0.05 	0.00 	0.00 	0.06 	0.19 	0.00 	0.21 	0.16 	0.00 
ELANE	0.42 	0.27 	0.90 	0.59 	1.19 	5.73 	0.18 	11.32 	0.00 	0.33 	0.64 	0.00 	0.23 	0.16 	0.91 	0.00 	0.19 	0.09 	0.00 
FUT4	2.49 	4.86 	1.89 	1.62 	1.03 	1.65 	2.08 	4.21 	6.05 	11.76 	6.87 	8.23 	8.31 	8.26 	4.58 	1.83 	2.91 	6.10 	6.11 
LCN2	0.35 	0.62 	0.91 	0.96 	7.59 	35.06 	0.83 	31.85 	0.67 	0.53 	2.48 	0.16 	0.34 	0.60 	2.65 	0.84 	5.74 	1.56 	0.63 
LTF	3.21 	2.00 	4.34 	3.16 	11.74 	57.27 	1.42 	62.94 	1.73 	2.56 	9.83 	2.65 	1.30 	2.52 	16.38 	0.76 	4.84 	3.22 	0.43 
MPO	0.61 	1.13 	1.05 	0.66 	2.34 	6.24 	0.19 	8.84 	0.13 	0.48 	1.06 	0.19 	0.30 	0.41 	1.25 	0.19 	0.83 	0.24 	0.13 
OLFM4	0.42 	0.59 	0.50 	0.48 	6.45 	7.46 	0.08 	2.03 	0.86 	1.22 	0.88 	0.40 	1.93 	0.70 	2.14 	0.35 	0.66 	0.61 	0.14 
PIWIL4	0.88 	3.37 	0.61 	0.41 	0.44 	1.17 	1.12 	1.80 	1.18 	5.26 	4.53 	4.03 	4.73 	4.52 	2.81 	1.04 	1.96 	2.06 	2.54 
PRRT4	0.04 	0.04 	0.05 	0.03 	0.06 	0.88 	0.07 	2.39 	0.03 	0.01 	0.04 	0.00 	0.00 	0.08 	0.04 	0.05 	0.01 	0.09 	0.02 
RNASE2	3.74 	2.58 	16.98 	3.23 	2.90 	4.16 	0.64 	13.66 	1.86 	0.89 	2.13 	0.07 	0.06 	0.50 	1.37 	0.00 	3.84 	1.14 	0.08 
TACSTD2	0.15 	0.02 	0.13 	0.04 	0.23 	0.44 	0.10 	0.59 	0.33 	0.10 	0.02 	0.20 	0.24 	0.04 	0.22 	0.06 	0.11 	0.37 	0.18 
DEFA4	0.00 	0.65 	0.00 	0.00 	1.52 	6.56 	0.13 	5.22 	0.00 	0.00 	0.33 	0.00 	0.42 	0.80 	0.00 	0.45 	0.16 	0.00 	0.65 
DEFA3	16.81 	16.02 	8.54 	16.38 	16.61 	146.78 	0.00 	91.85 	0.65 	3.52 	1.50 	0.00 	0.93 	31.40 	0.29 	2.33 	1.24 	0.25 	19.93 
CEACAM6	0.45 	0.29 	0.71 	0.29 	0.58 	3.52 	0.20 	1.83 	0.35 	0.56 	0.28 	0.10 	0.18 	0.86 	0.02 	1.06 	0.35 	0.08 	0.61 
BPI	2.19 	1.42 	1.78 	2.29 	9.36 	8.96 	0.36 	7.31 	2.07 	1.56 	2.38 	0.76 	3.65 	6.28 	1.27 	10.23 	1.03 	0.48 	5.86 
CD24	6.39 	2.30 	12.02 	2.80 	6.20 	12.36 	1.65 	8.52 	1.19 	2.95 	1.58 	3.07 	2.97 	6.54 	2.22 	5.55 	3.82 	1.78 	3.85 
