	HC1	HC2	HC3	HC4	C1	C2	C3	C4	C5	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
novel_circ_0010615	0	0	0	0	0	517.0965031	225.869598	0	252.9884258	0	0	0	0	0	0	0	0	0	0
hsa_circ_0006602	0	135.5151269	0	0	258.5426811	129.2741258	0	335.9291495	0	0	0	0	0	0	0	0	0	0	0
novel_circ_0002798	0	0	0	0	0	0	527.0290619	0	442.7297451	0	0	0	0	0	0	0	0	0	0
hsa_circ_0002434	0	0	0	0	86.1808937	258.5482516	0	213.7730951	0	0	0	0	0	0	0	0	0	0	0
hsa_circ_0001159	143.5801716	0	0	0	86.1808937	0	0	274.8511223	189.7413193	0	0	0	0	0	0	0	0	0	0
hsa_circ_0011137	0	0	0	0	517.0853622	517.0965031	0	0	126.4942129	0	0	0	0	0	0	0	0	164.4646675	0
novel_circ_0001803	0	67.75756344	75.47169811	0	172.3617874	323.1853145	225.869598	183.2340815	0	0	0	0	0	0	0	0	77.02973348	0	0
hsa_circ_0009069	0	0	0	0	129.2713405	258.5482516	0	122.1560544	0	0	0	0	0	0	0	0	0	0	0
novel_circ_0002066	0	0	0	0	86.1808937	387.8223774	376.4493299	0	252.9884258	0	0	0	0	0	0	0	0	0	138.6898433
hsa_circ_0021570	0	67.75756344	0	0	0	0	376.4493299	335.9291495	0	0	0	0	0	41.32829128	0	0	0	0	0
hsa_circ_0036997	0	0	0	0	0	0	451.7391959	274.8511223	0	0	0	0	0	0	0	0	77.02973348	0	0
novel_circ_0014266	0	0	188.6792453	0	172.3617874	0	0	427.5461903	126.4942129	0	0	0	0	0	0	0	115.5446002	0	0
hsa_circ_0027459	0	0	0	0	0	129.2741258	0	335.9291495	316.2355322	0	0	0	0	0	0	0	0	0	138.6898433
novel_circ_0007030	0	0	0	0	0	258.5482516	301.1594639	152.6950679	0	0	0	0	0	0	0	0	0	109.6431117	0
hsa_circ_0002215	0	0	0	0	172.3617874	193.9111887	0	213.7730951	0	0	0	0	0	41.32829128	0	0	0	0	0
novel_circ_0012231	0	0	0	0	172.3617874	0	0	335.9291495	189.7413193	0	0	0	0	0	0	0	0	164.4646675	0
novel_circ_0012194	0	67.75756344	0	101.1736139	129.2713405	0	451.7391959	91.61704077	442.7297451	0	0	0	0	0	0	0	0	219.2862233	0
novel_circ_0006976	71.79008579	0	0	0	0	0	301.1594639	91.61704077	316.2355322	0	0	0	0	0	0	0	77.02973348	0	0
hsa_circ_0007476	0	0	150.9433962	0	344.7235748	517.0965031	150.579732	794.0143533	126.4942129	0	0	0	0	0	0	0	0	383.7508909	0
hsa_circ_0006884	0	0	0	0	86.1808937	323.1853145	0	244.3121087	126.4942129	73.40347443	0	0	0	0	0	0	77.02973348	0	0
hsa_circ_0004870	0	203.2726903	0	0	517.0853622	0	451.7391959	1618.56772	505.9768516	48.93564962	0	55.41394215	0	82.65658256	78.29218644	0	0	383.7508909	92.45989552
hsa_circ_0001097	0	0	0	0	129.2713405	258.5482516	0	152.6950679	126.4942129	0	0	0	0	0	0	0	154.059467	0	0
novel_circ_0010616	0	0	0	0	215.4522342	517.0965031	752.8986598	152.6950679	252.9884258	0	0	0	0	0	0	0	154.059467	0	231.1497388
hsa_circ_0011572	0	0	0	0	86.1808937	258.5482516	752.8986598	183.2340815	0	0	0	0	0	0	0	0	115.5446002	164.4646675	0
hsa_circ_0001147	0	0	0	0	172.3617874	0	0	977.2484349	0	0	80.22462896	0	0	0	0	0	154.059467	109.6431117	0
hsa_circ_0009024	0	0	0	151.7604209	430.9044685	904.9188805	376.4493299	1129.943503	442.7297451	0	0	0	142.1935729	0	104.3895819	424.0882103	0	0	184.919791
hsa_circ_0002454	358.9504289	135.5151269	0	0	129.2713405	0	451.7391959	2107.191938	126.4942129	97.87129924	0	0	94.79571523	123.9848738	0	0	0	219.2862233	277.3796866
novel_circ_0004999	0	0	0	0	215.4522342	0	0	1252.099557	0	0	106.9661719	0	47.39785762	0	208.7791638	0	0	164.4646675	0
hsa_circ_0002837	0	0	0	0	0	0	225.869598	671.858299	189.7413193	48.93564962	133.7077149	0	0	0	0	0	154.059467	0	0
hsa_circ_0001023	0	0	113.2075472	0	0	258.5482516	150.579732	885.6313941	0	0	0	193.9487975	0	165.3131651	52.19479096	0	0	0	0
hsa_circ_0006459	0	0	0	0	430.9044685	193.9111887	0	366.4681631	379.4826387	0	0	0	0	41.32829128	0	0	192.5743337	219.2862233	0
novel_circ_0002576	143.5801716	0	113.2075472	0	129.2713405	193.9111887	225.869598	61.07802718	442.7297451	48.93564962	0	0	0	82.65658256	52.19479096	121.1680601	0	0	0
hsa_circ_0001340	107.6851287	0	301.8867925	0	215.4522342	193.9111887	451.7391959	122.1560544	252.9884258	0	0	0	0	0	104.3895819	0	77.02973348	219.2862233	0
hsa_circ_0003848	0	0	188.6792453	0	172.3617874	0	1054.058124	122.1560544	758.9652773	48.93564962	0	55.41394215	0	61.99243692	0	181.7520901	0	0	323.6096343
hsa_circ_0003550	0	0	0	0	517.0853622	840.2818176	301.1594639	763.4753397	695.7181709	0	0	0	0	0	0	363.5041803	539.2081343	0	277.3796866
novel_circ_0003965	143.5801716	101.6363452	150.9433962	0	473.9949153	711.0076918	150.579732	946.7094213	0	0	0	0	47.39785762	0	0	0	346.6338006	164.4646675	369.8395821
novel_circ_0004533	107.6851287	0	0	252.9340348	301.6331279	452.4594402	225.869598	213.7730951	442.7297451	0	0	55.41394215	0	0	0	0	308.1189339	219.2862233	0
hsa_circ_0001445	215.3702574	406.5453806	339.6226415	202.3472278	473.9949153	323.1853145	0	1893.418843	316.2355322	73.40347443	0	0	142.1935729	41.32829128	0	363.5041803	500.6932676	0	277.3796866
hsa_circ_0008058	143.5801716	67.75756344	113.2075472	0	86.1808937	387.8223774	0	1343.716598	0	146.8069489	133.7077149	0	71.09678643	61.99243692	52.19479096	0	154.059467	0	231.1497388
hsa_circ_0002473	0	0	0	0	172.3617874	129.2741258	1054.058124	763.4753397	0	0	0	0	94.79571523	0	0	302.9201502	269.6040672	0	184.919791
hsa_circ_0008870	0	203.2726903	0	0	215.4522342	517.0965031	527.0290619	580.2412582	189.7413193	0	0	0	47.39785762	0	0	424.0882103	231.0892004	0	231.1497388
hsa_circ_0004851	0	0	113.2075472	0	517.0853622	904.9188805	225.869598	274.8511223	252.9884258	0	0	0	0	0	0	302.9201502	308.1189339	274.1077792	92.45989552
hsa_circ_0001380	502.5306005	542.0605075	566.0377358	101.1736139	2499.245917	2779.393704	0	1649.106734	2656.378471	269.1460729	160.4492579	387.897595	236.9892881	619.9243692	156.5843729	0	0	0	2403.957284
hsa_circ_0001148	0	0	150.9433962	0	258.5426811	0	301.1594639	610.7802718	316.2355322	48.93564962	80.22462896	0	0	61.99243692	0	121.1680601	192.5743337	109.6431117	184.919791
hsa_circ_0001400	358.9504289	135.5151269	301.8867925	0	3274.87396	6269.795101	1806.956784	763.4753397	948.7065967	48.93564962	160.4492579	138.5348554	165.8925017	61.99243692	78.29218644	1575.184781	2927.129872	0	970.828903
hsa_circ_0004821	0	0	0	0	301.6331279	258.5482516	150.579732	183.2340815	569.223958	0	0	55.41394215	0	0	78.29218644	242.3361202	154.059467	219.2862233	0
hsa_circ_0001790	179.4752145	67.75756344	0	0	430.9044685	581.733566	376.4493299	335.9291495	505.9768516	48.93564962	80.22462896	83.12091322	118.494644	0	0	0	346.6338006	274.1077792	92.45989552
novel_circ_0003397	143.5801716	101.6363452	528.3018868	101.1736139	172.3617874	258.5482516	301.1594639	1099.404489	379.4826387	48.93564962	0	110.8278843	94.79571523	227.305602	260.9739548	181.7520901	192.5743337	109.6431117	0
hsa_circ_0005231	358.9504289	67.75756344	150.9433962	202.3472278	258.5426811	323.1853145	150.579732	458.0852038	316.2355322	97.87129924	80.22462896	277.0697107	47.39785762	144.6490195	0	0	0	109.6431117	0
hsa_circ_0001069	71.79008579	67.75756344	188.6792453	252.9340348	517.0853622	840.2818176	225.869598	274.8511223	252.9884258	73.40347443	80.22462896	138.5348554	71.09678643	61.99243692	0	121.1680601	192.5743337	274.1077792	92.45989552
hsa_circ_0000711	0	0	0	0	646.3567027	711.0076918	0	2412.582074	189.7413193	97.87129924	106.9661719	249.3627397	94.79571523	61.99243692	0	242.3361202	962.8716685	219.2862233	554.7593731
hsa_circ_0000175	0	101.6363452	0	0	430.9044685	323.1853145	527.0290619	0	822.2123838	146.8069489	0	166.2418264	71.09678643	123.9848738	0	302.9201502	0	164.4646675	138.6898433
novel_circ_0011547	0	169.3939086	113.2075472	0	215.4522342	258.5482516	602.3189279	91.61704077	695.7181709	0	80.22462896	55.41394215	189.5914305	103.3207282	0	0	154.059467	219.2862233	138.6898433
hsa_circ_0000437	825.5859866	779.2119795	1056.603774	708.2152975	1508.16564	2133.023075	677.6087939	6168.880745	1707.671874	440.4208466	454.6062308	443.3115372	473.9785762	289.298039	287.0713503	3877.377923	1116.931135	1206.074228	739.6791642
hsa_circ_0000799	143.5801716	0	0	0	0	711.0076918	1505.79732	1985.035883	822.2123838	122.3391241	133.7077149	110.8278843	142.1935729	103.3207282	182.6817684	0	1039.901402	1041.609561	369.8395821
hsa_circ_0001519	251.2653003	372.6665989	150.9433962	354.1076487	0	258.5482516	451.7391959	2320.965033	189.7413193	367.0173722	106.9661719	471.0185083	284.3871457	227.305602	234.8765593	121.1680601	192.5743337	109.6431117	369.8395821
