	HC1	HC2	HC3	HC4	COVID_1	COVID_2	COVID_3	COVID_4	COVID_5	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
CDKN2C	0.45 	0.25 	0.19 	0.20 	2.88 	0.65 	0.59 	2.59 	1.13 	2.86 	0.52 	0.20 	0.35 	0.76 	2.49 	1.54 	1.17 	1.00 	1.46 
CENPF	0.02 	0.01 	0.00 	0.41 	0.14 	0.46 	0.02 	3.95 	0.13 	0.10 	0.02 	0.00 	0.00 	0.07 	0.04 	0.00 	0.28 	0.03 	0.01 
CYP19A1	0.00 	0.02 	0.00 	0.00 	0.07 	0.00 	0.00 	0.35 	0.02 	0.09 	0.12 	0.03 	0.02 	0.05 	1.92 	0.03 	0.74 	0.07 	0.11 
CYP1B1	3.35 	3.64 	1.51 	1.19 	64.91 	5.00 	5.96 	22.91 	8.73 	25.89 	26.03 	20.37 	14.01 	48.00 	65.63 	4.95 	120.64 	14.47 	31.09 
HMGB3	0.15 	0.07 	0.10 	0.00 	0.48 	0.26 	0.08 	2.95 	0.31 	0.20 	0.20 	0.00 	0.11 	0.11 	0.20 	0.06 	0.59 	0.56 	0.39 
HP	0.45 	0.18 	0.37 	0.05 	60.47 	10.98 	3.12 	4.21 	6.04 	0.84 	2.84 	1.63 	0.14 	0.79 	3.34 	0.91 	45.77 	19.59 	2.33 
LTF	3.21 	2.00 	4.34 	3.16 	11.74 	57.27 	1.42 	62.94 	1.73 	2.56 	9.83 	2.65 	1.30 	2.52 	16.38 	0.76 	4.84 	3.22 	0.43 
MMP8	1.14 	0.55 	1.22 	0.67 	11.89 	19.60 	0.64 	8.55 	0.56 	3.12 	7.49 	1.03 	2.18 	2.18 	16.41 	0.79 	17.55 	1.89 	0.99 
POLR2J3	4.65 	5.08 	1.24 	2.86 	7.16 	13.01 	8.11 	17.26 	7.49 	4.36 	2.83 	5.79 	6.98 	5.68 	1.82 	4.27 	8.51 	8.65 	13.29 
RETN	0.20 	0.00 	0.00 	0.13 	1.34 	4.11 	0.21 	45.98 	0.00 	4.63 	0.93 	1.19 	0.09 	0.41 	4.15 	2.16 	3.61 	1.04 	0.20 
S100A12	207.24 	92.21 	27.48 	67.27 	449.12 	137.94 	89.70 	32.09 	207.21 	592.96 	1186.89 	542.66 	275.46 	988.08 	920.43 	271.07 	426.28 	172.74 	51.92 
TNFAIP8L3	0.00 	0.00 	0.00 	0.00 	0.20 	0.02 	0.05 	0.00 	0.00 	0.00 	0.02 	0.00 	0.00 	0.00 	0.28 	0.07 	0.92 	0.17 	0.00 
TOP2A	0.09 	0.14 	0.15 	0.03 	0.30 	0.70 	0.27 	5.46 	0.24 	0.33 	0.26 	0.12 	0.10 	0.18 	0.33 	0.08 	0.31 	0.15 	0.08 
GPSM2	0.90 	1.09 	2.48 	1.05 	1.52 	1.94 	2.20 	1.49 	1.64 	3.76 	0.99 	2.36 	1.26 	2.49 	0.82 	0.94 	1.73 	0.73 	1.43 
SMC4	27.02 	18.12 	18.29 	23.82 	3.98 	9.79 	6.94 	21.84 	14.13 	6.26 	9.82 	12.49 	8.13 	9.22 	4.95 	4.49 	13.88 	16.01 	7.76 
GAS2L3	0.03 	0.08 	0.20 	0.06 	0.11 	0.08 	0.16 	0.88 	0.37 	0.41 	0.09 	0.02 	0.27 	0.12 	0.02 	0.15 	0.17 	0.26 	0.24 
PRR11	0.57 	2.06 	0.64 	0.51 	1.48 	0.67 	0.47 	4.27 	0.59 	0.89 	3.59 	1.22 	0.59 	0.63 	0.28 	0.90 	0.86 	1.20 	0.55 
C18orf54	0.08 	0.07 	0.13 	0.09 	0.15 	0.11 	0.07 	1.57 	0.09 	0.18 	0.02 	0.04 	0.11 	0.22 	0.07 	0.61 	0.11 	0.04 	0.10 
